p3_,p2_,p1_,p0_,g3_,g2_,g1_,g0_,cin,p_,g_,cnz,cny,cnx,simulated_leakage,estimated_leakage,% Err
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.340729e-08,6.340894048359995e-08,0.0026029871327912088
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,5.640033e-08,5.640105964799995e-08,0.001293694558078951
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,3.635961e-06,6.702661e-08,6.703732867779997e-08,0.015991675246545305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.085084e-08,6.086630569339996e-08,0.025415743480222557
0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.76623e-08,7.76694274352e-08,0.009177471179712066
0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.065533e-08,7.066154659959998e-08,0.00879848639866493
0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,7.078162e-06,7.078162e-06,1.099995,3.635961e-06,3.635961e-06,8.013048e-08,8.014439368520001e-08,0.017363786164783915
0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.450169e-08,7.4521962307e-08,0.02721053307649979
0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.091417e-08,7.092663606699998e-08,0.01757909173860735
0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.39072e-08,6.391875523139997e-08,0.018081266899450308
0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,3.635961e-06,7.45335e-08,7.455502426120002e-08,0.028878640074622455
0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.835772e-08,6.838400127679998e-08,0.03844668429546952
0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,8.335676e-08,8.337263200460001e-08,0.01904105269928288
0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.634979e-08,7.636475116900002e-08,0.019595560118792103
0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,0.0,7.078162e-06,7.078162e-06,3.635416e-06,3.635961e-06,3.635961e-06,8.374965e-08,8.377278187940003e-08,0.02762026993548039
0.0,0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,8.019617e-08,8.022516687640001e-08,0.036157432954742635
0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.747832e-08,6.748673442139998e-08,0.012469814601161672
0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.047134e-08,6.047885358579997e-08,0.012425036058352105
0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.1,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,3.635961e-06,7.109763e-08,7.111512261559999e-08,0.024603655002272254
0.0,0.0,0.0,0.0,1.1,0.0,0.0,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.492186e-08,6.494409963119998e-08,0.03425599821074784
0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,8.173332e-08,8.174722137300002e-08,0.017008207913262116
0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.472635e-08,7.473934053740002e-08,0.017384145485519656
0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,0.0,7.078162e-06,7.078162e-06,1.099995,3.635961e-06,3.635961e-06,8.42015e-08,8.422218762300001e-08,0.024569185822119595
0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.857271e-08,7.859975624480003e-08,0.03442193199143175
0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.590933e-08,7.59258244358e-08,0.021729128422022417
0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,6.890237e-08,6.89179436002e-08,0.02260241585304974
0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,3.635961e-06,7.952866e-08,7.955421263000001e-08,0.03213008995752861
0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,7.335289e-08,7.338318964560002e-08,0.0413066828041939
0.0,0.0,0.0,0.0,1.1,1.1,1.1,0.0,0.0,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,8.835193e-08,8.837182037340002e-08,0.022512664296105094
0.0,0.0,0.0,0.0,1.1,1.1,1.1,0.0,1.1,7.078162e-06,7.078162e-06,1.099995,1.099995,1.099995,8.134495e-08,8.136393953780002e-08,0.02334445813786826
0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.1,0.0,7.078162e-06,1.099996,3.635416e-06,3.635961e-06,3.635961e-06,8.565683e-08,8.568645875600004e-08,0.03459006829932284
0.0,0.0,0.0,0.0,1.1,1.1,1.1,1.1,1.1,7.078162e-06,1.099996,1.099995,1.099995,1.099995,8.210336e-08,8.213884375300004e-08,0.04321839325459964
0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.805101e-08,6.805850280519996e-08,0.01101057162848091
0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,1.099996,7.078162e-06,1.099995,1.099995,1.099995,6.104404e-08,6.105062196959994e-08,0.01078232960979484
