GATE,simulated_leakage,estimated_leakage,INPUT1,INPUT2
INVERTER,7.135106e-10,-7.135114999999998e-10,1.100000e+00,
INVERTER,7.135106e-10,-7.135114999999998e-10,1.100000e+00,
INVERTER,7.135106e-10,-7.135114999999998e-10,1.100000e+00,
INVERTER,7.135106e-10,-7.135114999999998e-10,1.100000e+00,
INVERTER,7.135106e-10,-7.135114999999998e-10,1.100000e+00,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
NAND,1.105626e-09,-1.108844e-09,6.874255e-06,1.100000e+00
NAND,1.105626e-09,-1.108844e-09,8.111820e-06,1.099996e+00
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099995e+00,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.099994e+00
NAND,1.105626e-09,-1.108844e-09,6.874255e-06,1.100000e+00
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099995e+00,
NAND,2.633628e-09,2.6342183899999997e-09,1.100000e+00,4.782254e-06
NAND,1.105626e-09,-1.108844e-09,8.112279e-06,1.099989e+00
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099995e+00,
NAND,4.699591e-10,4.701013288e-10,8.078825e-06,4.782453e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.099994e+00
NAND,1.105626e-09,-1.108844e-09,6.874255e-06,1.100000e+00
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099995e+00,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.105626e-09,-1.108844e-09,4.715182e-06,1.099995e+00
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.099994e+00,1.099994e+00
NAND,1.105626e-09,-1.108844e-09,8.112280e-06,1.099996e+00
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099995e+00,
NAND,4.699591e-10,4.701013288e-10,8.079747e-06,8.176276e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,4.699591e-10,4.701013288e-10,4.680746e-06,4.782102e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.099994e+00
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.099994e+00,1.099994e+00
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.100000e+00,1.100000e+00
INVERTER,1.229032e-09,1.229041152e-09,8.121273e-06,
NAND,1.51383e-09,-1.5138583999999999e-09,1.099994e+00,1.099994e+00
NAND,4.699591e-10,4.701013288e-10,8.079747e-06,8.177198e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,4.699591e-10,4.701013288e-10,8.079285e-06,8.176276e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,4.699591e-10,4.701013288e-10,4.680396e-06,4.782103e-06
NAND,4.699591e-10,4.701013288e-10,4.680325e-06,4.782032e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,4.699591e-10,4.701013288e-10,4.680325e-06,4.782032e-06
INVERTER,7.135106e-10,-7.135114999999998e-10,1.099999e+00,
NAND,4.699591e-10,4.701013288e-10,4.680396e-06,4.782103e-06
